<DOC>	<DOC>+BDTAG
aylı	TUR10-0062220
beyaz	TUR10-0964310
bayrakların	TUR10-0964310
sallandığı	TUR10-0660860
geniş	TUR10-0248230
çadırların	TUR10-0144350
önünde	TUR10-0350740
öteye	TUR10-0606470
beriye	TUR10-0606470
gidip	TUR10-0299070
gelen	TUR10-0290420
doktorlar	TUR10-0736370
dolaşıyor	TUR10-0216520
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aylık	TUR10-0518300
ücretin	TUR10-0805890
ödenmesi	TUR10-0598210
de	TUR10-0994780
garip	TUR10-1200040
bir	TUR10-0105580
biçim	TUR10-0913930
almıştı	TUR10-0913930
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aylık	TUR10-0062280
toplantı	TUR10-0781430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aylıklı	TUR10-0062340
bir	TUR10-0105570
iş	TUR10-0538220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kapı	TUR10-0412920
kanadının	TUR10-0408320
aynası	TUR10-0062460
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
ülkenin	TUR10-0200160
sanat	TUR10-0662230
ve	TUR10-0816400
kültür	TUR10-0329540
bir	TUR10-0105990
bakıma	TUR10-0105990
o	TUR10-0581480
ülkenin	TUR10-0200160
uygarlık	TUR10-0802180
aynasıdır	TUR10-0062490
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Vah	TUR10-0375510
vah	TUR10-0375510
,	TUR10-0820240
aynalı	TUR10-0062580
şeydi	TUR10-0729470
doğrusu	TUR10-0213590
,	TUR10-0820240
kayartonun	TUR10-0432130
elinden	TUR10-0240850
kurtaramadınız	TUR10-0493720
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Benimki	TUR10-0093060
de	TUR10-0994780
ne	TUR10-0572520
yapsın	TUR10-0834590
,	TUR10-0820240
ne	TUR10-0572520
gördüyse	TUR10-0305620
aynen	TUR10-0062700
sürdürüyor	TUR10-0476840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayni	TUR10-0062810
yardım	TUR10-0836170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Taşlığa	TUR10-0472180
oturup	TUR10-0594810
soğuk	TUR10-0699360
ayranlar	TUR10-0062910
içtik	TUR10-0359840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
formalık	TUR10-0277990
ayrı	TUR10-0063090
basımlar	TUR10-0063090
eser	TUR10-0834270
diye	TUR10-0211490
gösterilmezse	TUR10-0307180
korkarım	TUR10-0231210
pek	TUR10-0105790
çoğumuzun	TUR10-0105790
eser	TUR10-0834270
listeleri	TUR10-0512530
hayli	TUR10-0335750
fakir	TUR10-0263360
kalırdı	TUR10-0405230
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayrıca	TUR10-0063120
yeni	TUR10-0848690
atlattığı	TUR10-0056500
zatürre	TUR10-0084690
onu	TUR10-0581470
iyice	TUR10-0388980
güçten	TUR10-1197520
düşürmüştü	TUR10-1197520
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Apış	TUR10-0040630
arasına	TUR10-0040630
fazla	TUR10-0266480
tülbent	TUR10-0792530
ve	TUR10-0816400
mermerşahi	TUR10-0537510
tıkarak	TUR10-0773640
bebeği	TUR10-0087800
çarpık	TUR10-0151710
ve	TUR10-0816400
ayrık	TUR10-0063260
bacaklı	TUR10-0067050
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şimdi	TUR10-0241000
ya	TUR10-0822490
gündüzdür	TUR10-0314940
ya	TUR10-0822490
gece	TUR10-0793130
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bunca	TUR10-0124490
zamanlar	TUR10-0869550
bilişip	TUR10-0104200
Ahir	TUR10-0551710
dönüp	TUR10-0058070
ayrılışıp	TUR10-0063530
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Artık	TUR10-0371210
senden	TUR10-0676650
saklamaya	TUR10-0658790
sebep	TUR10-0657350
kalmıyor	TUR10-1055470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
taşçılar	TUR10-0749740
topluluğunun	TUR10-0781740
tadını	TUR10-0873240
,	TUR10-0820240
çeşnisini	TUR10-0880020
başka	TUR10-0082160
hiçbir	TUR10-0343540
yerde	TUR10-0849770
bulamazlardı	TUR10-0123640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hep	TUR10-0084000
kamersiz	TUR10-0064030
gecelerin	TUR10-0793130
karanlıkları	TUR10-0417480
içinde	TUR10-0359150
geçen	TUR10-0288810
beş	TUR10-0095960
seneden	TUR10-0676860
sonra	TUR10-0565820
parlak	TUR10-0615670
ve	TUR10-0816400
yeşil	TUR10-0851640
köyü	TUR10-0485140
pek	TUR10-0621150
hoşuna	TUR10-0006560
gitmişti	TUR10-0006560
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tavanda	TUR10-0752290
hevenk	TUR10-0340420
hevenk	TUR10-0340420
üzümler	TUR10-0811920
,	TUR10-0820240
elmalar	TUR10-0244260
,	TUR10-0820240
armutlar	TUR10-0046450
,	TUR10-0820240
ayvalar	TUR10-0064110
sarkıyordu	TUR10-0667030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sarı	TUR10-0665800
ayva	TUR10-0064200
tüyleriyle	TUR10-0064200
kaplı	TUR10-0414140
incecik	TUR10-0373000
kollarını	TUR10-0467570
biraz	TUR10-0105940
fazla	TUR10-0266480
sıkacak	TUR10-0686580
olsam	TUR10-0405220
eriyiverecek	TUR10-0250360
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Komşu	TUR10-0471070
yüz	TUR10-1191320
vermemiş	TUR10-1191320
,	TUR10-0820240
çocuklu	TUR10-0171950
bir	TUR10-0105580
mahkeme	TUR10-0518350
azasıyla	TUR10-0065810
evlenmişti	TUR10-0956830
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendini	TUR10-0440770
yeni	TUR10-0104020
hayatın	TUR10-0334570
terk	TUR10-0287350
ettiği	TUR10-0287350
zaman	TUR10-0651570
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bakımsızlıklarla	TUR10-0072040
göçüp	TUR10-0286080
gitmiş	TUR10-0286080
bir	TUR10-0105580
cihan	TUR10-0851530
Mevsimler	TUR10-0683640
soğumuş	TUR10-0699790
,	TUR10-0820240
sular	TUR10-0017280
azalmış	TUR10-0240010
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Arkadaşlarımdan	TUR10-0651010
ayrılıp	TUR10-0063580
onun	TUR10-0581470
yanına	TUR10-0830520
geçmek	TUR10-0288440
azametime	TUR10-0064520
dokundu	TUR10-0085540
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
yorgun	TUR10-0860090
ve	TUR10-0816400
ve	TUR10-0816400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Madrid'de	TUR10-0000000
kahvehaneyi	TUR10-0399670
gördüm	TUR10-0305680
ki	TUR10-0459870
havradır	TUR10-0825710
Bir	TUR10-0105570
yerdeyiz	TUR10-0427120
ki	TUR10-0459840
söz	TUR10-0505340
denilen	TUR10-0191150
şey	TUR10-0729480
palavradır	TUR10-0611420
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ana	TUR10-0033960
çapa	TUR10-0149990
çapalar	TUR10-0150220
,	TUR10-0820240
ot	TUR10-0593370
yolar	TUR10-0859270
soğan	TUR10-0699160
sarımsak	TUR10-0666470
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kum	TUR10-0489870
havuzu	TUR10-0490430
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İkinci	TUR10-0364800
alkışa	TUR10-0028620
dayanamayan	TUR10-0185950
şair	TUR10-0721560
,	TUR10-0820240
havyar	TUR10-0334070
,	TUR10-0820240
şampanya	TUR10-0722870
getirtti	TUR10-0294850
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hay	TUR10-0334110
çok	TUR10-0172500
yaşayasınız	TUR10-0839570
sizler	TUR10-0697860
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Pencereden	TUR10-0622420
dışarıya	TUR10-0201590
bir	TUR10-0105550
gölge	TUR10-0302870
çıktı	TUR10-0220510
,	TUR10-0820240
arkasından	TUR10-0045440
seğirttiler	TUR10-0673670
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hayal	TUR10-0371250
yani	TUR10-0831950
Karagöz	TUR10-0000000
oynatan	TUR10-0448830
bir	TUR10-0105550
sanatkârmış	TUR10-0662380
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Beş	TUR10-0095960
yıllık	TUR10-0676910
plan	TUR10-0031800
hayalci	TUR10-0334240
olmadığımızı	TUR10-0405220
göstermektedir	TUR10-0307160
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kısır	TUR10-0114790
hayalli	TUR10-0334150
bir	TUR10-0105550
adam	TUR10-0920130
olmama	TUR10-0405220
rağmen	TUR10-0641140
bu	TUR10-0120750
düşünce	TUR10-0230800
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uçaktan	TUR10-0795470
korkmanın	TUR10-0475750
bir	TUR10-0105550
şey	TUR10-0729470
olduğunu	TUR10-0405220
hayal	TUR10-0334440
meyal	TUR10-0334450
duyuyordu	TUR10-0227360
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Arkadaş	TUR10-0045570
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hayatımı	TUR10-0027930
yazılarımla	TUR10-0519930
kazanırım	TUR10-0435820
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayda	TUR10-0406930
hayat	TUR10-0209050
yok	TUR10-0732000
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mehmet	TUR10-0000000
okuma	TUR10-0584400
yazma	TUR10-0584400
bilmiyordu	TUR10-0104510
ama	TUR10-0031730
hayat	TUR10-0334860
okulu	TUR10-0334860
ona	TUR10-0587430
birçok	TUR10-0105790
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fethi	TUR10-0000000
Bey	TUR10-0097260
çalgıları	TUR10-1214020
kovdu	TUR10-0478760
,	TUR10-0820240
davul	TUR10-0185170
zurna	TUR10-0877890
istedi	TUR10-0048420
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Haydi	TUR10-0335100
oradan	TUR10-0589410
be	TUR10-0087790
maskara	TUR10-0313270
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Haydin	TUR10-0335170
çocuklar	TUR10-0280820
,	TUR10-0820240
gidelim	TUR10-0123790
artık	TUR10-0047620
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hayır	TUR10-0335350
,	TUR10-0820240
zaferimiz	TUR10-0801120
bir	TUR10-0105550
masal	TUR10-0527380
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Lütufkâr	TUR10-0335450
bir	TUR10-0105550
genç	TUR10-0291000
kızla	TUR10-0458280
beraber	TUR10-0108000
olmadığı	TUR10-1209120
için	TUR10-0359060
otomobile	TUR10-0520720
binemez	TUR10-0105450
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0572460
olduğu	TUR10-0405220
bilinmeyen	TUR10-0743870
hayırsız	TUR10-0335490
bir	TUR10-0105560
nişanlıyı	TUR10-0200350
beklermiş	TUR10-0089620
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Denize	TUR10-0193590
bir	TUR10-0105550
konup	TUR10-0472110
bir	TUR10-0105550
kalkan	TUR10-0404350
martılar	TUR10-0527020
yüksekten	TUR10-0028300
avlarına	TUR10-0057450
bakarak	TUR10-0571870
haykırışırlar	TUR10-0335550
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Arabacılık	TUR10-0041420
,	TUR10-0820240
sararsın	TUR10-0667150
burmayı	TUR10-0125320
,	TUR10-0820240
çalarsın	TUR10-0146850
kamçıyı	TUR10-0406700
,	TUR10-0820240
haylarsın	TUR10-0335670
hayvanı	TUR10-0336100
geçer	TUR10-0286970
gidersin	TUR10-0019950
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sıcak	TUR10-0683820
bir	TUR10-0105550
ekmek	TUR10-0238960
gibi	TUR10-0297510
bölünebildiğini	TUR10-0119190
görünce	TUR10-0305590
artmış	TUR10-0048030
hayranlığımız	TUR10-0330730
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Cami	TUR10-0131080
ve	TUR10-0816400
mescitlerden	TUR10-0537980
başka	TUR10-0082160
mektebinden	TUR10-0533260
hastanesine	TUR10-0730960
kadar	TUR10-0359120
her	TUR10-0339330
türlü	TUR10-0794330
hayratla	TUR10-0335870
bu	TUR10-0120760
şehri	TUR10-0441470
süslemeye	TUR10-0718940
çalışıyordu	TUR10-0147870
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0064910
kadar	TUR10-1105700
haytalık	TUR10-0336090
edebilirseniz	TUR10-0258490
gruptaki	TUR10-0311000
itibarınız	TUR10-0335960
o	TUR10-0583380
kadar	TUR10-0583380
artardı	TUR10-0048010
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Zavallı	TUR10-0263380
hayvan	TUR10-0336100
bir	TUR10-0105550
saattir	TUR10-0651560
yüz	TUR10-0867280
okkadan	TUR10-0583500
fazla	TUR10-0266490
bir	TUR10-0105550
yükü	TUR10-0256750
sürüklüyordu	TUR10-0718140
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Büyük	TUR10-0028300
kentler	TUR10-0441470
bir	TUR10-0108580
yana	TUR10-0108580
bırakılırsa	TUR10-0100120
hayvansal	TUR10-0336360
besin	TUR10-0095360
tüketimi	TUR10-0382870
devede	TUR10-1004330
kulak	TUR10-1004330
denecek	TUR10-0082730
kadar	TUR10-0187930
azdır	TUR10-0064990
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Verilen	TUR10-0161240
sözün	TUR10-0430670
ana	TUR10-0033950
niteliği	TUR10-0141580
verence	TUR10-0161240
bir	TUR10-0105550
zorunluk	TUR10-0355420
olarak	TUR10-0123800
benimsenmesidir	TUR10-0093100
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Öyle	TUR10-0607180
doydum	TUR10-0219580
ki	TUR10-0459830
hazımsızlığa	TUR10-0336710
bile	TUR10-0102240
uğradım	TUR10-0667050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hazır	TUR10-0031920
çıkmışken	TUR10-0220510
yağ	TUR10-0823980
ile	TUR10-0367360
pirinç	TUR10-0628540
alayım	TUR10-0029260
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sözlük	TUR10-0407660
hazırlamak	TUR10-0232290
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onu	TUR10-0581450
kötü	TUR10-0416140
habere	TUR10-0416140
hazırladık	TUR10-0232290
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dünyanın	TUR10-0161470
hazinelerine	TUR10-0337200
başını	TUR10-0050860
çevirip	TUR10-0161240
bakmazdı	TUR10-0036190
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hazreti	TUR10-1232960
Ali	TUR10-0000000
</S>	</S>+ESTAG
<S>	<S>+BSTAG
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hececiler	TUR10-0337550
kendilerinden	TUR10-0440770
sonra	TUR10-0565820
yeni	TUR10-0104020
bir	TUR10-0105550
edebî	TUR10-0234040
neslin	TUR10-0085100
yetişmediğini	TUR10-0123610
söylüyorlar	TUR10-0103170
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İki	TUR10-0364800
heceli	TUR10-0337540
bir	TUR10-0105550
kelime	TUR10-0505340
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ağaca	TUR10-0010900
çıkmak	TUR10-0880230
istiyorsan	TUR10-0048420
,	TUR10-0820240
yıldızları	TUR10-0071410
hedefle	TUR10-0031800
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
masa	TUR10-0527250
örtüsünün	TUR10-0527500
hediyesi	TUR10-0337810
otuz	TUR10-0595150
milyon	TUR10-0546170
liradır	TUR10-0512240
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sırplar	TUR10-0688970
,	TUR10-0820240
Bulgarlarla	TUR10-0123200
muharebe	TUR10-0135870
ederek	TUR10-0258490
Balkan	TUR10-1226410
Yarımadası'nda	TUR10-1226410
hakiki	TUR10-0292650
bir	TUR10-0105550
hegemonya	TUR10-0337890
elde	TUR10-0893620
etmişlerdi	TUR10-0893620
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
yolculuk	TUR10-0858670
bizi	TUR10-0110290
helak	TUR10-0338000
etti	TUR10-0338000
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başta	TUR10-0083810
abani	TUR10-0000320
sarık	TUR10-0666100
,	TUR10-0820240
tende	TUR10-0754430
helalî	TUR10-0338090
gömlek	TUR10-0085100
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çağır	TUR10-0144900
hele	TUR10-0338200
arkadaşını	TUR10-0045570
,	TUR10-0820240
onunla	TUR10-0581450
da	TUR10-0178920
tanışalım	TUR10-0647510
,	TUR10-0820240
dedi	TUR10-0082730
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Muvazenesi	TUR10-0073390
bozulmuş	TUR10-0027870
bir	TUR10-0105550
yıldız	TUR10-0071410
gibi	TUR10-0297510
helezoni	TUR10-0338340
bir	TUR10-0105550
sallantı	TUR10-0363300
içinde	TUR10-0359140
bulunuyordum	TUR10-0123550
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Minare	TUR10-0546470
merdiveninin	TUR10-0951300
alt	TUR10-0030050
yüzü	TUR10-0745910
helikoittir	TUR10-0338400
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105550
milimetreküp	TUR10-1237020
insan	TUR10-0375930
kanında	TUR10-0349980
5.0.0	TUR10-0000004
hemati	TUR10-0338760
vardır	TUR10-0540500
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hayır	TUR10-0335330
,	TUR10-0820240
yalnız	TUR10-0245990
ben	TUR10-0092530
değilim	TUR10-0187890
onu	TUR10-0581450
beğenmeyen	TUR10-0006560
,	TUR10-0820240
sevmeyen	TUR10-0682540
,	TUR10-0820240
hemen	TUR10-0338840
kimse	TUR10-0461310
beğenmiyor	TUR10-0006560
o	TUR10-0581450
şairi	TUR10-0721560
,	TUR10-0820240
sevmiyor	TUR10-0682540
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
hususta	TUR10-0679150
birçok	TUR10-0105790
İsviçreliyi	TUR10-0383870
kendimle	TUR10-0440770
hemhâl	TUR10-0338920
bulmuşumdur	TUR10-0123550
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Rey	TUR10-0038290
,	TUR10-0820240
neşe	TUR10-0087050
,	TUR10-0820240
mesele	TUR10-0184690
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hele	TUR10-0338200
Balkan	TUR10-0000000
hengâmında	TUR10-0339150
alnından	TUR10-0027730
yaralanışı	TUR10-0027870
,	TUR10-0820240
öldü	TUR10-0286080
sanılıp	TUR10-0104550
unutuluşu	TUR10-0009720
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şu	TUR10-0734010
dünyada	TUR10-0161470
her	TUR10-0339330
birimiz	TUR10-0107280
alnımızın	TUR10-0498190
teriyle	TUR10-0498190
ekmeğimizi	TUR10-0238960
çıkarmak	TUR10-0529300
zorundayız	TUR10-0877200
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hercümerç	TUR10-0339450
ettiğin	TUR10-0339450
edvara	TUR10-0144540
da	TUR10-0178920
yetmez	TUR10-0361490
o	TUR10-0581450
kitap	TUR10-0463990
Seni	TUR10-0676460
ancak	TUR10-0035980
ebediyetler	TUR10-0619680
eder	TUR10-0258490
istiap	TUR10-0382210
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Herhâlde	TUR10-0339600
yakışıklı	TUR10-0273810
denecek	TUR10-0082730
bir	TUR10-0105550
adam	TUR10-0007230
sayılmam	TUR10-0670850
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İki	TUR10-0364800
herif	TUR10-0339660
zavallıya	TUR10-0003560
abanıyorlar	TUR10-0000350
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Seyfi	TUR10-0000000
Bey	TUR10-0048460
ile	TUR10-0367360
ilk	TUR10-0369130
kapışmada	TUR10-0413490
,	TUR10-0820240
herifçioğlu	TUR10-0339680
bir	TUR10-0105550
fırsatını	TUR10-0956160
buldu	TUR10-0956160
,	TUR10-0820240
topu	TUR10-0780350
elimden	TUR10-0014860
kapıverdi	TUR10-0414290
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Akşamları	TUR10-0021460
mektepten	TUR10-0533260
çıktıkça	TUR10-0085500
bizi	TUR10-0110290
herkeslikten	TUR10-0339740
kurtarabilecek	TUR10-0493720
bir	TUR10-0105560
yardım	TUR10-0257930
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hesaplı	TUR10-0239460
adam	TUR10-0007250
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
niçin	TUR10-0572520
ve	TUR10-0816400
hesapla	TUR10-0339840
girmiştik	TUR10-0298730
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yazları	TUR10-0843880
,	TUR10-0820240
haftada	TUR10-0320830
üç	TUR10-0806010
gün	TUR10-0314940
işe	TUR10-0383950
gitmiyorum	TUR10-0123790
hesapça	TUR10-0339850
bu	TUR10-0120750
bizim	TUR10-0110290
tatilimiz	TUR10-1154290
oluyor	TUR10-1154290
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dönem	TUR10-0144540
giderlerini	TUR10-0297650
hesapladık	TUR10-0340020
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Benimle	TUR10-0092530
mahkeme	TUR10-0518340
huzurunda	TUR10-0209230
hesaplaşacağını	TUR10-0339840
söyleyerek	TUR10-0103170
derhâl	TUR10-0338840
dışarı	TUR10-1005510
çıktı	TUR10-1005510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sana	TUR10-0662170
şu	TUR10-0734010
aşağıda	TUR10-0052040
yazacaklarıma	TUR10-0432370
ciddi	TUR10-0012120
,	TUR10-0820240
hesaplı	TUR10-0239460
,	TUR10-0820240
zeki	TUR10-0800220
olmayı	TUR10-0123800
kararlaştırdığım	TUR10-0351290
sabahların	TUR10-0651820
birinde	TUR10-0106990
başlamıştım	TUR10-0082730
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şimdiye	TUR10-0178850
kadar	TUR10-0178850
hesapsız	TUR10-0340260
vaatlerde	TUR10-1055360
bulundu	TUR10-1055360
ama	TUR10-0031730
hiçbirini	TUR10-0343550
tutmadı	TUR10-0104550
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tavanda	TUR10-0752290
hevenk	TUR10-0340420
hevenk	TUR10-0340420
üzümler	TUR10-0811920
,	TUR10-0820240
elmalar	TUR10-0244260
,	TUR10-0820240
armutlar	TUR10-0046450
,	TUR10-0820240
ayvalar	TUR10-0064110
sarkıyordu	TUR10-0667030
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hey	TUR10-0340580
,	TUR10-0820240
çocuklar	TUR10-0280820
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Adını	TUR10-0006790
bilmeseler	TUR10-0104510
bile	TUR10-0102240
heybetini	TUR10-0064510
tarif	TUR10-1152550
etsem	TUR10-1152550
gene	TUR10-0391400
bulunur	TUR10-0123550
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Halk	TUR10-0323130
arasında	TUR10-0041290
da	TUR10-0178920
keder	TUR10-0756190
ve	TUR10-0816400
sevinç	TUR10-0087050
diye	TUR10-0211480
iki	TUR10-0364800
bariz	TUR10-0078050
heyecan	TUR10-0340700
olduğuna	TUR10-0123800
inanmıştı	TUR10-0372690
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Politikacıların	TUR10-0697610
gürültülü	TUR10-0271730
,	TUR10-0820240
heyecanlı	TUR10-0054930
tartışmalarından	TUR10-0013470
nefret	TUR10-0126010
ederdi	TUR10-0573460
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Geniş	TUR10-0248230
ve	TUR10-0816400
otomobil	TUR10-0520720
dolu	TUR10-0217310
caddeler	TUR10-1212990
,	TUR10-0820240
heykelli	TUR10-0340930
meydanlar	TUR10-0541310
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sessiz	TUR10-0680750
nöbetçilerde	TUR10-0089530
heyula	TUR10-0341020
dolaşmada	TUR10-0216480
Her	TUR10-0339330
yerde	TUR10-0024100
bir	TUR10-0105550
kederli	TUR10-0437690
muamma	TUR10-0104500
dolaşmada	TUR10-0216480
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uçurtmamı	TUR10-0796190
isterim	TUR10-0048420
,	TUR10-0820240
diye	TUR10-0211480
hıçkırdı	TUR10-0341180
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şimdi	TUR10-0241000
düşünüyorum	TUR10-0104550
da	TUR10-0994750
ezberlemeye	TUR10-0320270
çalıştığım	TUR10-0147850
o	TUR10-0581450
kitaplardan	TUR10-0463990
bende	TUR10-0481280
,	TUR10-0820240
genelin	TUR10-0291230
dışında	TUR10-0057440
ne	TUR10-0572450
kalmış	TUR10-0225820
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendisini	TUR10-0440770
bırakıp	TUR10-0100120
gittiğimden	TUR10-0019950
dolayı	TUR10-0216630
uğradığı	TUR10-0667050
ihanetin	TUR10-0166200
hıncı	TUR10-0341500
ile	TUR10-0367360
pek	TUR10-0089360
kolay	TUR10-0079300
affetmeyecekti	TUR10-0009720
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hele	TUR10-0338200
hamileliği	TUR10-0324890
boyunca	TUR10-0117040
,	TUR10-0820240
onunla	TUR10-0581450
dalaşmaya	TUR10-0341640
hiç	TUR10-0343500
niyeti	TUR10-0567850
yoktu	TUR10-0732000
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tezgâhın	TUR10-0768310
ardındaki	TUR10-0047330
raflarda	TUR10-0640930
defter	TUR10-0187330
,	TUR10-0820240
kâğıt	TUR10-0076340
,	TUR10-0820240
kalem	TUR10-0402590
silgi	TUR10-0692500
ve	TUR10-0816400
bir	TUR10-0105790
sürü	TUR10-0718020
hırdavat	TUR10-0341740
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Burada	TUR10-0124750
o	TUR10-0581450
zaman	TUR10-0651570
bir	TUR10-0105560
laterna	TUR10-0507860
vardı	TUR10-0540500
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Köpek	TUR10-0386920
gözlerinin	TUR10-0072340
akını	TUR10-0018600
çıkararak	TUR10-0529300
yan	TUR10-1177680
yan	TUR10-1177680
baktıktan	TUR10-1177680
sonra	TUR10-0565820
pes	TUR10-1119380
perdeden	TUR10-1119380
hırladı	TUR10-0341970
